Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET VELEIROS,35239203,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"IPANEMA, 834 VELEIROS. 04773-010 São Paulo - SP.",(11) 55231366,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.6851733,-46.7118389
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET AYRTON SENNA DA SILVA,35239215,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"INACIO CUNHA LEME, 205 JARDIM IPANEMA ZONA SUL. 04784-145 São Paulo - SP.",(11) 56606763,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.6900788,-46.7116377
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET GERALDO DE ARRUDA PENTEADO CEL,35239227,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"VALTER RIBEIRO MARRANY, 23 VILA SANTA MARIA. 04810-010 São Paulo - SP.",(11) 56675052,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.7123596,-46.6958972
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET VANDA MARIA RODRIGUES DOS SANTOS PROFA,35239239,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CORONEL ARLINDO DE OLIVEIRA, 136 PARQUE ALTO DO RIO BONITO. 04823-240 São Paulo - SP.",(11) 56639365,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.7252172,-46.6959577
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JOSE FERREIRA KEFFER VER,35239240,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"IRUPANA, 99 JARDIM SAO JOSE. 04837-010 São Paulo - SP.",(11) 59289432,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.7391532,-46.70009677
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JARDIM UNIVERSITARIO,35239264,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"GERALDO DO BRUMADO, S/N JARDIM ANGELINA. 04829-500 São Paulo - SP.",(11) 59294840,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.73608167,-46.70976333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET YOJIRO TAKAOKA,35239276,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"LOURENCO CABREIRA, 1023 JARDIM ANA LUCIA. 04812-010 São Paulo - SP.",(11) 56639324,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.71248711,-46.68954992
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JOSE MOLINA JR VER,35239288,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"GASPAR JOSE RAPOSO, S/N JARDIM MARIA RITA. 04814-100 São Paulo - SP.",(11) 56635331,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.71950463,-46.67947984
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET DOUGLAS DANIEL DO NASCIMENTO,35239297,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MIRAFLORES, 26 JARDIM CASTRO ALVES. 04842-470 São Paulo - SP.",(11) 56611671,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-23.74042744,-46.68124532
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JARDIM SOMARA,35239306,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ANTONIO FELIPE FILHO, 35 JARDIM SOMARA. 04845-000 São Paulo - SP.",(11) 59274168,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.74902833,-46.69105167
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JARDIM ELIANA,35239318,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"HENRY ARTHUR JONES, 88 JARDIM EDI. 04851-002 São Paulo - SP.",(11) 59344288,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.75292764,-46.67246377
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET PEDRO HENRIQUE SIQUEIRA LIMA,35239324,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CONSTELACAO DO DOURADO, S/N JARDIM CAMPINAS. 04858-030 São Paulo - SP.",(11) 55267992,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.76942333,-46.706305
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET PARQUE COCAIA,35239331,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"TAVAREDE, 84 PARQUE COCAIA. 04850-080 São Paulo - SP.",(11) 55281180,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.747661,-46.67756634
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET MITIKO MATSUSHITA NEVOEIRO,35239343,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MARTIMCACHA, 15 JARDIM MARILDA. 04857-380 São Paulo - SP.",(11) 55264910,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-23.7834088,-46.6933459
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JARDIM REIMBERG,35239355,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"LUIZ THOMAZ JOAQUIM, 74 JARDIM REIMBERG. 04845-250 São Paulo - SP.",(11) 59289537,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.75041232,-46.6968614
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JARDIM TRES CORACOES,35239367,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CARLOS ALBERTO BASTOS MACHADO, 65 JARDIM MYRNA. 04856-080 São Paulo - SP.",(11) 55262313,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.7690386,-46.695627
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JOSE ADRIANO MARREY JR VER,35239379,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DOUTOR ARMANDO FAJARDO, 410 JARDIM SAO BERNARDO. 04844-590 São Paulo - SP.",(11) 59274198,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.7559763,-46.70261125
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET COHAB FARIA LIMA BRIG,35239380,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"APARECIDA D OESTE, 145 CONJ HABIT BRIGADEIRO FARIA LIMA. 04840-280 São Paulo - SP.",(11) 59336612,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.7564757,-46.6833431
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET PARQUE GRAJAU,35239392,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"JONATAS SERRANO, 621 PARQUE GRAJAU. 04842-040 São Paulo - SP.",(11) 56615747,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.7452164,-46.6817973
